,0
Logistic Regression,0.33639003515207094
Decision Tree,0.47302460644964084
Linear SVM,0.33639003515207094
Gaussian SVM,0.40440165061898214
K Nearest,0.2537062509552193
Random Forest,0.9993886596362525
